Indexcd,Trddt,Clsindex,Retindex
300,2007/12/14,4977.652,0.019113
300,2007/12/17,4857.289,-0.024181
300,2007/12/18,4829.909,-0.005637
300,2007/12/19,4946.285,0.024095
300,2007/12/20,5037.195,0.018379
300,2007/12/21,5101.852,0.012836
300,2007/12/24,5207.134,0.020636
300,2007/12/25,5216.813,0.001859
300,2007/12/26,5265.026,0.009242
300,2007/12/27,5367.53,0.019469
300,2007/12/28,5338.275,-0.00545
300,2008/1/2,5385.103,0.008772
300,2008/1/3,5422.034,0.006858
300,2008/1/4,5483.65,0.011364
300,2008/1/7,5556.593,0.013302
300,2008/1/8,5528.054,-0.005136
300,2008/1/9,5613.758,0.015503
300,2008/1/10,5672.154,0.010402
300,2008/1/11,5699.147,0.004759
300,2008/1/14,5731.757,0.005722
300,2008/1/15,5696.45,-0.00616
300,2008/1/16,5505.717,-0.033483
300,2008/1/17,5365.624,-0.025445
300,2008/1/18,5414.468,0.009103
300,2008/1/21,5145.734,-0.049633
300,2008/1/22,4753.868,-0.076154
300,2008/1/23,4975.111,0.04654
300,2008/1/24,5027.213,0.010473
300,2008/1/25,5077.429,0.009989
300,2008/1/28,4731.883,-0.068055
300,2008/1/29,4762.083,0.006382
300,2008/1/30,4710.652,-0.0108
300,2008/1/31,4620.401,-0.019159
300,2008/2/1,4571.945,-0.010487
300,2008/2/4,4950.124,0.082717
300,2008/2/5,4921.829,-0.005716
300,2008/2/13,4816.084,-0.021485
300,2008/2/14,4880.252,0.013324
300,2008/2/15,4813.311,-0.013717
300,2008/2/18,4910.992,0.020294
300,2008/2/19,5020.753,0.02235
300,2008/2/20,4908.717,-0.022315
300,2008/2/21,4876.03,-0.006659
300,2008/2/22,4702.241,-0.035641
300,2008/2/25,4519.783,-0.038802
300,2008/2/26,4515.533,-0.00094
300,2008/2/27,4639.768,0.027513
300,2008/2/28,4622.056,-0.003817
300,2008/2/29,4674.55,0.011357
300,2008/3/3,4790.744,0.024857
300,2008/3/4,4671.148,-0.024964
300,2008/3/5,4628.724,-0.009082
300,2008/3/6,4685.03,0.012164
300,2008/3/7,4621.685,-0.013521
300,2008/3/10,4431.589,-0.041131
300,2008/3/11,4441.184,0.002165
300,2008/3/12,4309.648,-0.029617
300,2008/3/13,4198.96,-0.025684
300,2008/3/14,4157.871,-0.009786
300,2008/3/17,3965.279,-0.04632
300,2008/3/18,3763.948,-0.050773
300,2008/3/19,3888.861,0.033187
300,2008/3/20,4001.832,0.02905
300,2008/3/21,4037.83,0.008995
300,2008/3/24,3857.091,-0.044761
300,2008/3/25,3905.774,0.012622
300,2008/3/26,3914.37,0.002201
300,2008/3/27,3748.92,-0.042267
300,2008/3/28,3918.156,0.045143
300,2008/3/31,3790.53,-0.032573
300,2008/4/1,3582.855,-0.054788
300,2008/4/2,3547.977,-0.009735
300,2008/4/3,3650.698,0.028952
